CustomerID,Last date of purcharse,recency
17511,2011-12-07,2 days
17434,2011-12-07,2 days
14769,2011-12-07,2 days
13668,2011-12-07,2 days
16000,2011-12-07,2 days
12615,2011-12-07,2 days
17735,2011-12-07,2 days
16426,2011-12-07,2 days
18237,2011-12-07,2 days
14032,2011-12-07,2 days
17049,2011-12-07,2 days
17870,2011-12-07,2 days
17232,2011-12-07,2 days
14910,2011-12-07,2 days
15498,2011-12-07,2 days
16678,2011-12-07,2 days
13685,2011-12-07,2 days
15195,2011-12-07,2 days
16271,2011-12-07,2 days
18273,2011-12-07,2 days
16672,2011-12-07,2 days
12950,2011-12-07,2 days
18272,2011-12-07,2 days
17097,2011-12-07,2 days
17835,2011-12-07,2 days
14397,2011-12-07,2 days
17017,2011-12-07,2 days
13949,2011-12-07,2 days
15525,2011-12-07,2 days
12720,2011-12-07,2 days
15701,2011-12-07,2 days
15568,2011-12-07,2 days
14395,2011-12-07,2 days
16393,2011-12-07,2 days
12747,2011-12-07,2 days
12912,2011-12-07,2 days
17042,2011-12-07,2 days
15883,2011-12-07,2 days
16817,2011-12-07,2 days
16525,2011-12-07,2 days
17091,2011-12-07,2 days
13769,2011-12-07,2 days
13767,2011-12-07,2 days
17503,2011-12-07,2 days
13756,2011-12-07,2 days
12839,2011-12-07,2 days
13267,2011-12-07,2 days
12935,2011-12-07,2 days
15298,2011-12-07,2 days
13743,2011-12-07,2 days
16539,2011-12-07,2 days
12347,2011-12-07,2 days
12471,2011-12-07,2 days
14132,2011-12-07,2 days
17412,2011-12-07,2 days
14904,2011-12-07,2 days
17590,2011-12-07,2 days
17266,2011-12-07,2 days
18219,2011-12-07,2 days
13870,2011-12-07,2 days
13089,2011-12-07,2 days
14708,2011-12-07,2 days
14204,2011-12-07,2 days
15969,2011-12-07,2 days
15136,2011-12-07,2 days
14141,2011-12-07,2 days
12569,2011-12-07,2 days
15750,2011-12-07,2 days
17602,2011-12-07,2 days
14085,2011-12-07,2 days
15471,2011-12-07,2 days
14087,2011-12-07,2 days
16191,2011-12-07,2 days
13534,2011-12-07,2 days
16458,2011-12-07,2 days
14527,2011-12-07,2 days
12583,2011-12-07,2 days
14794,2011-12-07,2 days
15984,2011-12-07,2 days
14534,2011-12-07,2 days
14189,2011-12-07,2 days
18092,2011-12-07,2 days
17119,2011-12-06,3 days
18005,2011-12-06,3 days
16528,2011-12-06,3 days
18225,2011-12-06,3 days
14572,2011-12-06,3 days
12723,2011-12-06,3 days
14216,2011-12-06,3 days
13199,2011-12-06,3 days
16016,2011-12-06,3 days
14293,2011-12-06,3 days
16620,2011-12-06,3 days
16076,2011-12-06,3 days
16015,2011-12-06,3 days
16569,2011-12-06,3 days
12716,2011-12-06,3 days
14868,2011-12-06,3 days
14673,2011-12-06,3 days
15907,2011-12-06,3 days
17481,2011-12-06,3 days
12442,2011-12-06,3 days
15061,2011-12-06,3 days
16764,2011-12-06,3 days
12877,2011-12-06,3 days
16143,2011-12-06,3 days
13881,2011-12-06,3 days
17884,2011-12-06,3 days
17883,2011-12-06,3 days
18283,2011-12-06,3 days
12820,2011-12-06,3 days
14418,2011-12-06,3 days
17914,2011-12-06,3 days
12478,2011-12-06,3 days
17861,2011-12-06,3 days
13323,2011-12-06,3 days
12766,2011-12-06,3 days
14737,2011-12-06,3 days
18154,2011-12-06,3 days
14735,2011-12-06,3 days
16353,2011-12-06,3 days
14578,2011-12-06,3 days
13507,2011-12-06,3 days
12749,2011-12-06,3 days
15157,2011-12-06,3 days
17346,2011-12-06,3 days
17290,2011-12-06,3 days
16495,2011-12-06,3 days
12362,2011-12-06,3 days
14140,2011-12-06,3 days
13104,2011-12-06,3 days
17730,2011-12-06,3 days
13709,2011-12-06,3 days
13994,2011-12-06,3 days
15194,2011-12-06,3 days
15992,2011-12-06,3 days
16987,2011-12-06,3 days
12417,2011-12-06,3 days
17744,2011-12-06,3 days
12650,2011-12-06,3 days
14503,2011-12-06,3 days
16790,2011-12-06,3 days
16979,2011-12-06,3 days
14547,2011-12-06,3 days
13225,2011-12-06,3 days
12989,2011-12-06,3 days
14121,2011-12-06,3 days
17728,2011-12-06,3 days
15318,2011-12-06,3 days
12584,2011-12-06,3 days
16929,2011-12-06,3 days
13694,2011-12-06,3 days
16949,2011-12-06,3 days
16201,2011-12-06,3 days
15023,2011-12-06,3 days
12971,2011-12-06,3 days
13078,2011-12-06,3 days
17593,2011-12-06,3 days
14825,2011-12-06,3 days
16711,2011-12-06,3 days
12682,2011-12-06,3 days
13755,2011-12-06,3 days
17250,2011-12-06,3 days
16013,2011-12-06,3 days
14110,2011-12-06,3 days
16133,2011-12-06,3 days
16313,2011-12-06,3 days
17666,2011-12-06,3 days
14907,2011-12-06,3 days
14871,2011-12-06,3 days
15822,2011-12-06,3 days
14071,2011-12-06,3 days
14562,2011-12-06,3 days
17705,2011-12-06,3 days
14282,2011-12-06,3 days
14113,2011-12-06,3 days
17706,2011-12-05,4 days
17404,2011-12-05,4 days
17857,2011-12-05,4 days
13305,2011-12-05,4 days
15932,2011-12-05,4 days
17383,2011-12-05,4 days
16600,2011-12-05,4 days
15031,2011-12-05,4 days
17254,2011-12-05,4 days
17402,2011-12-05,4 days
15392,2011-12-05,4 days
15053,2011-12-05,4 days
15856,2011-12-05,4 days
13173,2011-12-05,4 days
12841,2011-12-05,4 days
13417,2011-12-05,4 days
17579,2011-12-05,4 days
13021,2011-12-05,4 days
12925,2011-12-05,4 days
14759,2011-12-05,4 days
15358,2011-12-05,4 days
15290,2011-12-05,4 days
12913,2011-12-05,4 days
13790,2011-12-05,4 days
15033,2011-12-05,4 days
13126,2011-12-05,4 days
13083,2011-12-05,4 days
13079,2011-12-05,4 days
17811,2011-12-05,4 days
16592,2011-12-05,4 days
15274,2011-12-05,4 days
16597,2011-12-05,4 days
17817,2011-12-05,4 days
17526,2011-12-05,4 days
12994,2011-12-05,4 days
17676,2011-12-05,4 days
13001,2011-12-05,4 days
15854,2011-12-05,4 days
17218,2011-12-05,4 days
16642,2011-12-05,4 days
17090,2011-12-05,4 days
13230,2011-12-05,4 days
13311,2011-12-05,4 days
18223,2011-12-05,4 days
15628,2011-12-05,4 days
14060,2011-12-05,4 days
16746,2011-12-05,4 days
18180,2011-12-05,4 days
15640,2011-12-05,4 days
18030,2011-12-05,4 days
16910,2011-12-05,4 days
16200,2011-12-05,4 days
14608,2011-12-05,4 days
14649,2011-12-05,4 days
14075,2011-12-05,4 days
12367,2011-12-05,4 days
14096,2011-12-05,4 days
16904,2011-12-05,4 days
13985,2011-12-05,4 days
16379,2011-12-05,4 days
12683,2011-12-05,4 days
14931,2011-12-05,4 days
14083,2011-12-05,4 days
14401,2011-12-05,4 days
18198,2011-12-05,4 days
15621,2011-12-05,4 days
14219,2011-12-05,4 days
14696,2011-12-05,4 days
15690,2011-12-05,4 days
15572,2011-12-05,4 days
16684,2011-12-05,4 days
16968,2011-12-05,4 days
12646,2011-12-05,4 days
16360,2011-12-05,4 days
14194,2011-12-05,4 days
16149,2011-12-05,4 days
12628,2011-12-05,4 days
15550,2011-12-05,4 days
16811,2011-12-05,4 days
17920,2011-12-05,4 days
16851,2011-12-05,4 days
16873,2011-12-05,4 days
17006,2011-12-05,4 days
12782,2011-12-05,4 days
16500,2011-12-05,4 days
16682,2011-12-05,4 days
15145,2011-12-05,4 days
18044,2011-12-05,4 days
15097,2011-12-05,4 days
12381,2011-12-05,4 days
16513,2011-12-05,4 days
14629,2011-12-05,4 days
14739,2011-12-05,4 days
18015,2011-12-05,4 days
14546,2011-12-04,5 days
14102,2011-12-04,5 days
16931,2011-12-04,5 days
12560,2011-12-04,5 days
13630,2011-12-04,5 days
17173,2011-12-04,5 days
12673,2011-12-04,5 days
16561,2011-12-04,5 days
14658,2011-12-04,5 days
13736,2011-12-04,5 days
14456,2011-12-04,5 days
12952,2011-12-04,5 days
15773,2011-12-04,5 days
16326,2011-12-04,5 days
18065,2011-12-04,5 days
16988,2011-12-04,5 days
17750,2011-12-04,5 days
13704,2011-12-04,5 days
13596,2011-12-04,5 days
17131,2011-12-04,5 days
16438,2011-12-04,5 days
17858,2011-12-04,5 days
13838,2011-12-04,5 days
17629,2011-12-04,5 days
17936,2011-12-04,5 days
13435,2011-12-04,5 days
14583,2011-12-04,5 days
13153,2011-12-04,5 days
16283,2011-12-04,5 days
12490,2011-12-04,5 days
13558,2011-12-04,5 days
15867,2011-12-04,5 days
14720,2011-12-04,5 days
16535,2011-12-04,5 days
17618,2011-12-04,5 days
12827,2011-12-04,5 days
13319,2011-12-04,5 days
16033,2011-12-04,5 days
13822,2011-12-04,5 days
14354,2011-12-04,5 days
12724,2011-12-04,5 days
17954,2011-12-04,5 days
16905,2011-12-04,5 days
12719,2011-12-04,5 days
17827,2011-12-04,5 days
13808,2011-12-04,5 days
13956,2011-12-04,5 days
17114,2011-12-04,5 days
14895,2011-12-02,7 days
14250,2011-12-02,7 days
18174,2011-12-02,7 days
17611,2011-12-02,7 days
13705,2011-12-02,7 days
14493,2011-12-02,7 days
14031,2011-12-02,7 days
13458,2011-12-02,7 days
17386,2011-12-02,7 days
12558,2011-12-02,7 days
13017,2011-12-02,7 days
16359,2011-12-02,7 days
18097,2011-12-02,7 days
16333,2011-12-02,7 days
14788,2011-12-02,7 days
14897,2011-12-02,7 days
16899,2011-12-02,7 days
12587,2011-12-02,7 days
17686,2011-12-02,7 days
16038,2011-12-02,7 days
15769,2011-12-02,7 days
13560,2011-12-02,7 days
18144,2011-12-02,7 days
17567,2011-12-02,7 days
17584,2011-12-02,7 days
14126,2011-12-02,7 days
13495,2011-12-02,7 days
17221,2011-12-02,7 days
14092,2011-12-02,7 days
14023,2011-12-02,7 days
18055,2011-12-02,7 days
12700,2011-12-02,7 days
13969,2011-12-02,7 days
15271,2011-12-02,7 days
14865,2011-12-02,7 days
14428,2011-12-02,7 days
12364,2011-12-02,7 days
17495,2011-12-02,7 days
13953,2011-12-02,7 days
12704,2011-12-02,7 days
13297,2011-12-02,7 days
13780,2011-12-02,7 days
14560,2011-12-02,7 days
12695,2011-12-02,7 days
17157,2011-12-02,7 days
12684,2011-12-02,7 days
14292,2011-12-02,7 days
15570,2011-12-02,7 days
12856,2011-12-02,7 days
16989,2011-12-02,7 days
16474,2011-12-02,7 days
15547,2011-12-02,7 days
13868,2011-12-02,7 days
13884,2011-12-02,7 days
13309,2011-12-02,7 days
15539,2011-12-02,7 days
18282,2011-12-02,7 days
16759,2011-12-02,7 days
17942,2011-12-02,7 days
16440,2011-12-02,7 days
12762,2011-12-02,7 days
17086,2011-12-02,7 days
14594,2011-12-02,7 days
15078,2011-12-02,7 days
14688,2011-12-02,7 days
17183,2011-12-02,7 days
13183,2011-12-02,7 days
15123,2011-12-02,7 days
12962,2011-12-02,7 days
16103,2011-12-02,7 days
12970,2011-12-02,7 days
18245,2011-12-02,7 days
15060,2011-12-01,8 days
14146,2011-12-01,8 days
14243,2011-12-01,8 days
15500,2011-12-01,8 days
16156,2011-12-01,8 days
15172,2011-12-01,8 days
16496,2011-12-01,8 days
16813,2011-12-01,8 days
14309,2011-12-01,8 days
15531,2011-12-01,8 days
15687,2011-12-01,8 days
15951,2011-12-01,8 days
17321,2011-12-01,8 days
16839,2011-12-01,8 days
17566,2011-12-01,8 days
16011,2011-12-01,8 days
12963,2011-12-01,8 days
15373,2011-12-01,8 days
13509,2011-12-01,8 days
17937,2011-12-01,8 days
14766,2011-12-01,8 days
14262,2011-12-01,8 days
14178,2011-12-01,8 days
16966,2011-12-01,8 days
16145,2011-12-01,8 days
14655,2011-12-01,8 days
15101,2011-12-01,8 days
15862,2011-12-01,8 days
17381,2011-12-01,8 days
13159,2011-12-01,8 days
16700,2011-12-01,8 days
13854,2011-12-01,8 days
14804,2011-12-01,8 days
16119,2011-12-01,8 days
15380,2011-12-01,8 days
15948,2011-12-01,8 days
15993,2011-12-01,8 days
17350,2011-12-01,8 days
17450,2011-12-01,8 days
15904,2011-12-01,8 days
16789,2011-12-01,8 days
17293,2011-12-01,8 days
17426,2011-12-01,8 days
14298,2011-12-01,8 days
14287,2011-12-01,8 days
15021,2011-12-01,8 days
15144,2011-12-01,8 days
14869,2011-12-01,8 days
12572,2011-12-01,8 days
12951,2011-12-01,8 days
14367,2011-12-01,8 days
15434,2011-12-01,8 days
16169,2011-12-01,8 days
12919,2011-12-01,8 days
14960,2011-12-01,8 days
15028,2011-12-01,8 days
17576,2011-12-01,8 days
17768,2011-12-01,8 days
14289,2011-12-01,8 days
13040,2011-12-01,8 days
16376,2011-12-01,8 days
15602,2011-12-01,8 days
16242,2011-12-01,8 days
14299,2011-12-01,8 days
12562,2011-12-01,8 days
16701,2011-12-01,8 days
17115,2011-12-01,8 days
12901,2011-12-01,8 days
18077,2011-12-01,8 days
14440,2011-12-01,8 days
14047,2011-12-01,8 days
12664,2011-12-01,8 days
18122,2011-12-01,8 days
13090,2011-12-01,8 days
14659,2011-12-01,8 days
12553,2011-12-01,8 days
14732,2011-12-01,8 days
17014,2011-12-01,8 days
16938,2011-12-01,8 days
13255,2011-11-30,9 days
15113,2011-11-30,9 days
18241,2011-11-30,9 days
15712,2011-11-30,9 days
14258,2011-11-30,9 days
15903,2011-11-30,9 days
15444,2011-11-30,9 days
13362,2011-11-30,9 days
18230,2011-11-30,9 days
15654,2011-11-30,9 days
18179,2011-11-30,9 days
17502,2011-11-30,9 days
13203,2011-11-30,9 days
15680,2011-11-30,9 days
16241,2011-11-30,9 days
12429,2011-11-30,9 days
15414,2011-11-30,9 days
15152,2011-11-30,9 days
14963,2011-11-30,9 days
15544,2011-11-30,9 days
17736,2011-11-30,9 days
16062,2011-11-30,9 days
13647,2011-11-30,9 days
16712,2011-11-30,9 days
16265,2011-11-30,9 days
13658,2011-11-30,9 days
12598,2011-11-30,9 days
14062,2011-11-30,9 days
12882,2011-11-30,9 days
12714,2011-11-30,9 days
13012,2011-11-30,9 days
12630,2011-11-30,9 days
15782,2011-11-30,9 days
16115,2011-11-30,9 days
18058,2011-11-30,9 days
13784,2011-11-30,9 days
14448,2011-11-30,9 days
17737,2011-11-30,9 days
14432,2011-11-30,9 days
12921,2011-11-30,9 days
14385,2011-11-30,9 days
14005,2011-11-30,9 days
16657,2011-11-30,9 days
14713,2011-11-30,9 days
12966,2011-11-30,9 days
12957,2011-11-30,9 days
12953,2011-11-30,9 days
14618,2011-11-30,9 days
15039,2011-11-30,9 days
15024,2011-11-30,9 days
15073,2011-11-30,9 days
14755,2011-11-30,9 days
12528,2011-11-30,9 days
15394,2011-11-30,9 days
17911,2011-11-30,9 days
12787,2011-11-30,9 days
12488,2011-11-30,9 days
14156,2011-11-30,9 days
15467,2011-11-30,9 days
12784,2011-11-30,9 days
15251,2011-11-30,9 days
18158,2011-11-30,9 days
12524,2011-11-30,9 days
15046,2011-11-30,9 days
16915,2011-11-30,9 days
14540,2011-11-30,9 days
14893,2011-11-30,9 days
15611,2011-11-30,9 days
17288,2011-11-30,9 days
16361,2011-11-30,9 days
16295,2011-11-30,9 days
15089,2011-11-29,10 days
13883,2011-11-29,10 days
17101,2011-11-29,10 days
13928,2011-11-29,10 days
13349,2011-11-29,10 days
17466,2011-11-29,10 days
17468,2011-11-29,10 days
14711,2011-11-29,10 days
14419,2011-11-29,10 days
15239,2011-11-29,10 days
14408,2011-11-29,10 days
14388,2011-11-29,10 days
14390,2011-11-29,10 days
16852,2011-11-29,10 days
15297,2011-11-29,10 days
14088,2011-11-29,10 days
14349,2011-11-29,10 days
14173,2011-11-29,10 days
13467,2011-11-29,10 days
14723,2011-11-29,10 days
14209,2011-11-29,10 days
13429,2011-11-29,10 days
13428,2011-11-29,10 days
15148,2011-11-29,10 days
17306,2011-11-29,10 days
13576,2011-11-29,10 days
14125,2011-11-29,10 days
16168,2011-11-29,10 days
16992,2011-11-29,10 days
14785,2011-11-29,10 days
16818,2011-11-29,10 days
13657,2011-11-29,10 days
15197,2011-11-29,10 days
14452,2011-11-29,10 days
14180,2011-11-29,10 days
15206,2011-11-29,10 days
16782,2011-11-29,10 days
15218,2011-11-29,10 days
16775,2011-11-29,10 days
13999,2011-11-29,10 days
13496,2011-11-29,10 days
14321,2011-11-29,10 days
14601,2011-11-29,10 days
14667,2011-11-29,10 days
14836,2011-11-29,10 days
12798,2011-11-29,10 days
12670,2011-11-29,10 days
15790,2011-11-29,10 days
15619,2011-11-29,10 days
13068,2011-11-29,10 days
15755,2011-11-29,10 days
17682,2011-11-29,10 days
13198,2011-11-29,10 days
14701,2011-11-29,10 days
12727,2011-11-29,10 days
14550,2011-11-29,10 days
14554,2011-11-29,10 days
14866,2011-11-29,10 days
17711,2011-11-29,10 days
12375,2011-11-29,10 days
16479,2011-11-29,10 days
17655,2011-11-29,10 days
12451,2011-11-29,10 days
12654,2011-11-29,10 days
12627,2011-11-29,10 days
13147,2011-11-29,10 days
18118,2011-11-29,10 days
13137,2011-11-29,10 days
12464,2011-11-29,10 days
16549,2011-11-29,10 days
15615,2011-11-29,10 days
17772,2011-11-29,10 days
13014,2011-11-29,10 days
15783,2011-11-29,10 days
13211,2011-11-29,10 days
14824,2011-11-29,10 days
14961,2011-11-29,10 days
17188,2011-11-28,11 days
13004,2011-11-28,11 days
13758,2011-11-28,11 days
12906,2011-11-28,11 days
13196,2011-11-28,11 days
15511,2011-11-28,11 days
17739,2011-11-28,11 days
14215,2011-11-28,11 days
17806,2011-11-28,11 days
13418,2011-11-28,11 days
15022,2011-11-28,11 days
13030,2011-11-28,11 days
17299,2011-11-28,11 days
14704,2011-11-28,11 days
16800,2011-11-28,11 days
18229,2011-11-28,11 days
17651,2011-11-28,11 days
15721,2011-11-28,11 days
14480,2011-11-28,11 days
13115,2011-11-28,11 days
17379,2011-11-28,11 days
13188,2011-11-28,11 days
15838,2011-11-28,11 days
13590,2011-11-28,11 days
14470,2011-11-28,11 days
13081,2011-11-28,11 days
17359,2011-11-28,11 days
17237,2011-11-28,11 days
16744,2011-11-28,11 days
17419,2011-11-28,11 days
12479,2011-11-28,11 days
15714,2011-11-28,11 days
18041,2011-11-28,11 days
15561,2011-11-28,11 days
13914,2011-11-28,11 days
13258,2011-11-28,11 days
17929,2011-11-28,11 days
12657,2011-11-28,11 days
16094,2011-11-28,11 days
14597,2011-11-28,11 days
13266,2011-11-28,11 days
12660,2011-11-28,11 days
17031,2011-11-28,11 days
15571,2011-11-28,11 days
12668,2011-11-28,11 days
17019,2011-11-28,11 days
13950,2011-11-28,11 days
16347,2011-11-28,11 days
14741,2011-11-28,11 days
17924,2011-11-28,11 days
17523,2011-11-28,11 days
15601,2011-11-28,11 days
13844,2011-11-28,11 days
17852,2011-11-28,11 days
16364,2011-11-28,11 days
15540,2011-11-28,11 days
18101,2011-11-28,11 days
14290,2011-11-28,11 days
18096,2011-11-28,11 days
13389,2011-11-28,11 days
14901,2011-11-28,11 days
14511,2011-11-28,11 days
17988,2011-11-28,11 days
13546,2011-11-27,12 days
16983,2011-11-27,12 days
16942,2011-11-27,12 days
14878,2011-11-27,12 days
13991,2011-11-27,12 days
14093,2011-11-27,12 days
13571,2011-11-27,12 days
18112,2011-11-27,12 days
18001,2011-11-27,12 days
15351,2011-11-27,12 days
16877,2011-11-27,12 days
13610,2011-11-27,12 days
13064,2011-11-27,12 days
16024,2011-11-27,12 days
13782,2011-11-27,12 days
17864,2011-11-27,12 days
15514,2011-11-27,12 days
17885,2011-11-27,12 days
15747,2011-11-27,12 days
17769,2011-11-27,12 days
14954,2011-11-27,12 days
14859,2011-11-27,12 days
17068,2011-11-27,12 days
15009,2011-11-27,12 days
15555,2011-11-27,12 days
16005,2011-11-27,12 days
16923,2011-11-27,12 days
18156,2011-11-27,12 days
17231,2011-11-27,12 days
17812,2011-11-27,12 days
17236,2011-11-27,12 days
18145,2011-11-27,12 days
15987,2011-11-27,12 days
14577,2011-11-27,12 days
15054,2011-11-27,12 days
17365,2011-11-27,12 days
17595,2011-11-27,12 days
13232,2011-11-27,12 days
15436,2011-11-27,12 days
15861,2011-11-27,12 days
17411,2011-11-27,12 days
16407,2011-11-27,12 days
14946,2011-11-25,14 days
13048,2011-11-25,14 days
17302,2011-11-25,14 days
15872,2011-11-25,14 days
14111,2011-11-25,14 days
14710,2011-11-25,14 days
12438,2011-11-25,14 days
13332,2011-11-25,14 days
13184,2011-11-25,14 days
13579,2011-11-25,14 days
15473,2011-11-25,14 days
17562,2011-11-25,14 days
12531,2011-11-25,14 days
13050,2011-11-25,14 days
13589,2011-11-25,14 days
17385,2011-11-25,14 days
13978,2011-11-25,14 days
15186,2011-11-25,14 days
15117,2011-11-25,14 days
16814,2011-11-25,14 days
12681,2011-11-25,14 days
14703,2011-11-25,14 days
15134,2011-11-25,14 days
16327,2011-11-25,14 days
15382,2011-11-25,14 days
15793,2011-11-25,14 days
16719,2011-11-25,14 days
17557,2011-11-25,14 days
18172,2011-11-25,14 days
17348,2011-11-25,14 days
16856,2011-11-25,14 days
13437,2011-11-25,14 days
17624,2011-11-25,14 days
17813,2011-11-25,14 days
13149,2011-11-25,14 days
14966,2011-11-25,14 days
17329,2011-11-25,14 days
12620,2011-11-25,14 days
13525,2011-11-25,14 days
15737,2011-11-25,14 days
14805,2011-11-24,15 days
16824,2011-11-24,15 days
17247,2011-11-24,15 days
17767,2011-11-24,15 days
12709,2011-11-24,15 days
18184,2011-11-24,15 days
14987,2011-11-24,15 days
16189,2011-11-24,15 days
13207,2011-11-24,15 days
17133,2011-11-24,15 days
13638,2011-11-24,15 days
13719,2011-11-24,15 days
12421,2011-11-24,15 days
14709,2011-11-24,15 days
13277,2011-11-24,15 days
14756,2011-11-24,15 days
12705,2011-11-24,15 days
15502,2011-11-24,15 days
18188,2011-11-24,15 days
12476,2011-11-24,15 days
15270,2011-11-24,15 days
12937,2011-11-24,15 days
16157,2011-11-24,15 days
14277,2011-11-24,15 days
17228,2011-11-24,15 days
14607,2011-11-24,15 days
15005,2011-11-24,15 days
17458,2011-11-24,15 days
12388,2011-11-24,15 days
15858,2011-11-24,15 days
17096,2011-11-24,15 days
15725,2011-11-24,15 days
17727,2011-11-24,15 days
18130,2011-11-24,15 days
17139,2011-11-24,15 days
17516,2011-11-24,15 days
17975,2011-11-24,15 days
15632,2011-11-24,15 days
16482,2011-11-24,15 days
16609,2011-11-24,15 days
15482,2011-11-24,15 days
16616,2011-11-24,15 days
16596,2011-11-24,15 days
17345,2011-11-24,15 days
12494,2011-11-24,15 days
16566,2011-11-24,15 days
15953,2011-11-24,15 days
13588,2011-11-24,15 days
16885,2011-11-24,15 days
15428,2011-11-24,15 days
15034,2011-11-24,15 days
16570,2011-11-24,15 days
17323,2011-11-24,15 days
14591,2011-11-24,15 days
17671,2011-11-24,15 days
12757,2011-11-24,15 days
18161,2011-11-24,15 days
13995,2011-11-24,15 days
16668,2011-11-24,15 days
15594,2011-11-24,15 days
14539,2011-11-24,15 days
16173,2011-11-24,15 days
12619,2011-11-23,16 days
17725,2011-11-23,16 days
13448,2011-11-23,16 days
13018,2011-11-23,16 days
14790,2011-11-23,16 days
15949,2011-11-23,16 days
17034,2011-11-23,16 days
14334,2011-11-23,16 days
17135,2011-11-23,16 days
12948,2011-11-23,16 days
13502,2011-11-23,16 days
13742,2011-11-23,16 days
15814,2011-11-23,16 days
16185,2011-11-23,16 days
17410,2011-11-23,16 days
16343,2011-11-23,16 days
17809,2011-11-23,16 days
16670,2011-11-23,16 days
16900,2011-11-23,16 days
13139,2011-11-23,16 days
13899,2011-11-23,16 days
15727,2011-11-23,16 days
15743,2011-11-23,16 days
14020,2011-11-23,16 days
14049,2011-11-23,16 days
13174,2011-11-23,16 days
12452,2011-11-23,16 days
